,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
46,1683472978839798300,-89.10169593020845,20.22804210497576,-359.5184168284364,370.9471363198068,-89.10169593020845,-88.95366959394214,-88.66759997481324,-89.10169593020845,-88.95366959394214,-88.66759997481324,20.22804210497576,18.893358971441653,17.559283230435902
47,1683472978849798300,-89.2488898291968,20.921970065785054,-359.4824479247981,370.98615005574385,-89.2488898291968,-89.10169593020845,-88.95366959394214,-89.2488898291968,-89.10169593020845,-88.95366959394214,20.921970065785054,20.22804210497576,18.893358971441653
48,1683472978859798300,-89.53180797309042,21.919966660406885,-360.44144111551714,372.0409413636549,-89.53180797309042,-89.2488898291968,-89.10169593020845,-89.53180797309042,-89.2488898291968,-89.10169593020845,21.919966660406885,20.921970065785054,20.22804210497576
49,1683472978869798300,-89.39775197471228,21.879478992322973,-361.0703039532585,372.6156653389738,-89.39775197471228,-89.53180797309042,-89.2488898291968,-89.39775197471228,-89.53180797309042,-89.2488898291968,21.879478992322973,21.919966660406885,20.921970065785054
50,1683472978879798300,-89.8229899833677,22.193129988468662,-361.75351076125213,373.3983222998312,-89.8229899833677,-89.39775197471228,-89.53180797309042,-89.8229899833677,-89.39775197471228,-89.53180797309042,22.193129988468662,21.879478992322973,21.919966660406885
51,1683472978889798300,-90.05371543534343,22.623529752925585,-361.92908823664317,373.6497834523649,-90.05371543534343,-89.8229899833677,-89.39775197471228,-90.05371543534343,-89.8229899833677,-89.39775197471228,22.623529752925585,22.193129988468662,21.879478992322973
52,1683472978899798300,-90.37258259905856,22.322183174656402,-362.6615440463143,374.41805388811497,-90.37258259905856,-90.05371543534343,-89.8229899833677,-90.37258259905856,-90.05371543534343,-89.8229899833677,22.322183174656402,22.623529752925585,22.193129988468662
53,1683472978909798300,-90.82093865750541,22.04351654367484,-364.425196718491,376.21813290105047,-90.82093865750541,-90.37258259905856,-90.05371543534343,-90.82093865750541,-90.37258259905856,-90.05371543534343,22.04351654367484,22.322183174656402,22.623529752925585
54,1683472978919798300,-91.20350107974306,22.19952635874138,-365.41096382110135,377.27452877238,-91.20350107974306,-90.82093865750541,-90.37258259905856,-91.20350107974306,-90.82093865750541,-90.37258259905856,22.19952635874138,22.04351654367484,22.322183174656402
55,1683472978929798300,-92.27644908619742,22.37379056247171,-366.91429135379934,379.00082685892875,-92.27644908619742,-91.20350107974306,-90.82093865750541,-92.27644908619742,-91.20350107974306,-90.82093865750541,22.37379056247171,22.19952635874138,22.04351654367484
56,1683472978939798300,-92.64231924641429,21.728869067489818,-368.78234016877354,380.8610737351136,-92.64231924641429,-92.27644908619742,-91.20350107974306,-92.64231924641429,-92.27644908619742,-91.20350107974306,21.728869067489818,22.37379056247171,22.19952635874138
57,1683472978949798300,-93.646790924172,21.695688042324164,-370.13242923751375,382.41134855452253,-93.646790924172,-92.64231924641429,-92.27644908619742,-93.646790924172,-92.64231924641429,-92.27644908619742,21.695688042324164,21.728869067489818,22.37379056247171
58,1683472978959798300,-94.1419952349668,21.740418718089675,-371.40587629541403,383.7677501036568,-94.1419952349668,-93.646790924172,-92.64231924641429,-94.1419952349668,-93.646790924172,-92.64231924641429,21.740418718089675,21.695688042324164,21.728869067489818
59,1683472978969798300,-94.41031600068702,21.358304616200307,-372.09075664629347,384.4749876455413,-94.41031600068702,-94.1419952349668,-93.646790924172,-94.41031600068702,-94.1419952349668,-93.646790924172,21.358304616200307,21.740418718089675,21.695688042324164
60,1683472978979798300,-94.70900992252352,21.34168645063582,-371.6897515565997,384.1595183686963,-94.70900992252352,-94.41031600068702,-94.1419952349668,-94.70900992252352,-94.41031600068702,-94.1419952349668,21.34168645063582,21.358304616200307,21.740418718089675
61,1683472978989798300,-94.29396357196097,20.22889283630314,-371.7248978096619,384.03119576812577,-94.29396357196097,-94.70900992252352,-94.41031600068702,-94.29396357196097,-94.70900992252352,-94.41031600068702,20.22889283630314,21.34168645063582,21.358304616200307
62,1683472978999798300,-93.64504802117816,19.162486374282206,-370.7173839209499,382.8419708497571,-93.64504802117816,-94.29396357196097,-94.70900992252352,-93.64504802117816,-94.29396357196097,-94.70900992252352,19.162486374282206,20.22889283630314,21.34168645063582
